,address_id,address,address2,district,city_id,postal_code,phone,location,last_update,_merge
0,56,939 Probolinggo Loop,NaN,Galicia,1,4166,680428310138,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2014-09-25 22:33:08,left_only
1,580,923 Tangail Boulevard,NaN,Tokyo-to,10,33384,315528269898,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00x\xe5\xc4h\xa7ka@\xc3\xa2}\x07\x9a\xdaA@',2014-09-25 22:31:45,left_only
2,538,1817 Livorno Way,NaN,Khanh Hoa,100,79401,478380208348,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\x94JxB/J[@#m>\t\xc7\xd7'@""",2014-09-25 22:34:05,left_only
3,532,1427 Tabuk Place,NaN,Florida,101,31342,214756839122,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00<p)B\xc5|T\xc0*]UQ\x17\x90:@',2014-09-25 22:33:47,left_only
4,115,1378 Alvorada Avenue,NaN,Distrito Federal,102,75834,272234298332,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x0c4D\xbaD\xb8P\xc0G\xb17\x8c\xdd\xf9$@',2014-09-25 22:34:03,left_only
5,584,1819 Alessandria Loop,NaN,Campeche,103,53829,377633994405,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x866\xa5a\x1d\xf5V\xc07O\x1a\x0f[\xa52@',2014-09-25 22:32:02,left_only
6,393,717 Changzhou Lane,NaN,Southern Tagalog,104,21615,426255288071,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2014-09-25 22:32:36,left_only
7,69,698 Otsu Street,NaN,Cayenne,105,71110,409983924481,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd8y\xc0\xe1\xaa*J\xc0\xd5~\xc6\xe0\xbc\xbb\x13@',2014-09-25 22:31:02,left_only
8,593,1402 Zanzibar Boulevard,NaN,Guanajuato,106,71102,387448063440,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xfc\xb7\xdc\xaa54Y\xc0\\xa8\xa1\xb2\x06\x864@',2014-09-25 22:32:03,left_only
9,171,1540 Wroclaw Drive,NaN,Maharashtra,107,62686,182363341674,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00N\x10\xd0\xd8\xf2\xd2S@|\xfb)Dv\xf23@',2014-09-25 22:31:14,left_only
10,79,1551 Rampur Lane,NaN,Changhwa,108,72394,251164340471,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2014-09-25 22:33:14,left_only
11,201,817 Bradford Loop,NaN,Ji´angsu,109,89459,264286442804,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc3\xe1\xbb\x83\x0e\xfd]@\x06\xb2C\xa1\n\xc6?@',2014-09-25 22:30:31,left_only
12,484,98 Pyongyang Boulevard,NaN,Ohio,11,88749,191958435142,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x8a\xb1\xa7x7aT\xc0\x99\x05$\xabl\x8aD@',2014-09-25 22:33:42,left_only
13,514,1747 Rustenburg Place,NaN,Bihar,110,51369,442673923363,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x0b\xfd]\xe9\xc6.U@A\xc4\xbc}\x0c\xc89@',2014-09-25 22:31:14,left_only
